Order_ID,Order_Date,Customer_ID,Customer_Name,Customer_Phone,Customer_City,Customer_State,Customer_Pincode,Product_ID,Product_Name,Category,Sub_Category,Size,Color,Quantity,MRP,Sale_Price,Discount_Percent,Seller_ID,Seller_Name,Payment_Mode,Order_Status,Shipment_Date,Delivery_Date,Return_Status,Return_Date,Refund_Amount
MSH2025-021,2025-02-09,CUST1021,Neha Agarwal,9868139383,Chennai,Tamil Nadu,600033,PRD1643,Shirt - Red S,Men Wear,Shirt,S,Red,3,897,746,17,SLR408,KidsWorld,COD,Delivered,2025-02-10,2025-02-15,No,,0
MSH2025-022,2025-01-02,CUST1022,Riya Sharma,9866481385,Ahmedabad,Gujarat,380011,PRD9554,Saree - Maroon M,Women Wear,Saree,M,Maroon,1,1470,1406,4,SLR401,FashionKart,Online,Out for Delivery,2025-01-03,,No,,0
MSH2025-023,2025-01-20,CUST1023,Karan Sethi,9815519728,Ahmedabad,Gujarat,380086,PRD6608,Leggings - Grey 44,Women Wear,Leggings,44,Grey,1,1252,887,29,SLR295,SportStyle,COD,Returned,2025-01-21,,Yes,,887
MSH2025-024,2025-02-02,CUST1024,Anjali Jain,9837789831,Kolkata,West Bengal,700024,PRD2136,Saree - White XXL,Women Wear,Saree,XXL,White,1,531,219,59,SLR151,BagStore,COD,Cancelled,,,No,,0
MSH2025-025,2025-01-02,CUST1025,Anjali Jain,9832551908,Jaipur,Rajasthan,302075,PRD4210,Kurti - Grey S,Women Wear,Kurti,S,Grey,3,493,176,64,SLR253,SportStyle,Online,Cancelled,,,No,,0
MSH2025-026,2025-01-06,CUST1026,Riya Sharma,9840832154,Bengaluru,Karnataka,560051,PRD8042,Kurti - Blue M,Women Wear,Kurti,M,Blue,1,1713,1574,8,SLR201,TrendyFashion,COD,Out for Delivery,2025-01-07,,No,,0
MSH2025-027,2025-01-03,CUST1027,Neha Agarwal,9837148909,Mumbai,Maharashtra,400095,PRD9153,T-shirt - Green 38,Men Wear,T-shirt,38,Green,2,1611,1241,23,SLR432,BagStore,COD,Out for Delivery,2025-01-04,,No,,0
MSH2025-028,2025-01-16,CUST1028,Deepika Singh,9814823061,Jaipur,Rajasthan,302012,PRD3156,Handbag - Yellow 44,Women Accessories,Handbag,44,Yellow,2,1429,1065,25,SLR470,EthnicBazaar,COD,Out for Delivery,2025-01-17,,No,,0
MSH2025-029,2025-01-01,CUST1029,Sameer Khan,9823565995,Kolkata,West Bengal,700065,PRD9688,Leggings - Pink 40,Women Wear,Leggings,40,Pink,2,1828,1495,18,SLR258,MenStyleHub,COD,Returned,2025-01-02,,Yes,,1495
MSH2025-030,2025-01-12,CUST1030,Amit Verma,9883724665,Kanpur,Uttar Pradesh,208066,PRD3720,T-shirt - Yellow L,Men Wear,T-shirt,L,Yellow,3,1049,803,23,SLR113,FootwearPlaza,COD,Out for Delivery,2025-01-13,,No,,0
MSH2025-031,2025-01-04,CUST1031,Karan Sethi,9812583119,Chennai,Tamil Nadu,600031,PRD9968,Handbag - Brown L,Women Accessories,Handbag,L,Brown,1,847,598,29,SLR396,FootwearPlaza,Online,Cancelled,,,No,,0
MSH2025-032,2025-01-23,CUST1032,Pooja Patel,9860468137,Bengaluru,Karnataka,560090,PRD1543,Saree - Green 42,Women Wear,Saree,42,Green,1,626,444,29,SLR142,KidsWorld,Online,Out for Delivery,2025-01-24,,No,,0
MSH2025-033,2025-01-31,CUST1033,Riya Sharma,9863130408,Ahmedabad,Gujarat,380067,PRD7937,Saree - Maroon L,Women Wear,Saree,L,Maroon,3,625,327,48,SLR403,MenStyleHub,COD,Out for Delivery,2025-02-01,,No,,0
MSH2025-034,2025-02-04,CUST1034,Pooja Patel,9863187635,Bengaluru,Karnataka,560095,PRD6402,Palazzo Set - Green 9,Women Wear,Palazzo Set,9,Green,3,1396,1116,20,SLR478,ShoeHub,Online,Out for Delivery,2025-02-05,,No,,0
MSH2025-035,2025-01-26,CUST1035,Riya Sharma,9825377835,Kolkata,West Bengal,700035,PRD5895,Sports Shoes - Brown M,Footwear,Sports Shoes,M,Brown,1,1751,1524,13,SLR245,EthnicBazaar,COD,Delivered,2025-01-27,2025-01-31,No,,0
MSH2025-036,2025-01-16,CUST1036,Riya Sharma,9878955090,Bengaluru,Karnataka,560066,PRD6960,Leggings - White S,Women Wear,Leggings,S,White,2,629,478,24,SLR336,ShoeHub,Online,Returned,2025-01-17,,Yes,,478
MSH2025-037,2025-01-28,CUST1037,Sameer Khan,9811175667,Ahmedabad,Gujarat,380039,PRD6279,Palazzo Set - Maroon 42,Women Wear,Palazzo Set,42,Maroon,3,1939,1758,9,SLR494,MenStyleHub,Online,Returned,2025-01-29,,Yes,,1758
MSH2025-038,2025-01-13,CUST1038,Karan Sethi,9853777540,Ahmedabad,Gujarat,380053,PRD5519,Leggings - Yellow XXL,Women Wear,Leggings,XXL,Yellow,3,623,553,11,SLR436,BudgetFashion,Online,Delivered,2025-01-14,2025-01-18,No,,0
MSH2025-039,2025-02-05,CUST1039,Shreya Kapoor,9854599677,Jaipur,Rajasthan,302022,PRD7644,T-shirt - Blue 44,Kids Wear,T-shirt,44,Blue,1,1001,612,39,SLR372,FashionKart,COD,Cancelled,,,No,,0
MSH2025-040,2025-01-22,CUST1040,Neha Agarwal,9834814680,Delhi,Delhi,110040,PRD6057,T-shirt - Grey 9,Kids Wear,T-shirt,9,Grey,3,654,277,58,SLR282,BagStore,Online,Returned,2025-01-23,,Yes,,277
MSH2025-041,2025-02-07,CUST1041,Sameer Khan,9881243211,Bengaluru,Karnataka,560011,PRD9756,Handbag - Blue L,Women Accessories,Handbag,L,Blue,3,1136,819,28,SLR73,SportStyle,COD,Cancelled,,,No,,0
MSH2025-042,2025-01-08,CUST1042,Anjali Jain,9841775795,Surat,Gujarat,395055,PRD2591,Palazzo Set - Yellow 9,Women Wear,Palazzo Set,9,Yellow,2,1273,1013,20,SLR133,MenStyleHub,Online,Delivered,2025-01-09,2025-01-14,No,,0
MSH2025-043,2025-01-24,CUST1043,Neha Agarwal,9829284270,Delhi,Delhi,110074,PRD9946,Track Pants - Brown 6-7Y,Men Wear,Track Pants,6-7Y,Brown,3,1164,911,22,SLR390,BudgetFashion,COD,Out for Delivery,2025-01-25,,No,,0
MSH2025-044,2025-01-17,CUST1044,Rahul Yadav,9824797815,Ahmedabad,Gujarat,380012,PRD1287,Shirt - Blue XXL,Men Wear,Shirt,XXL,Blue,1,1438,1290,10,SLR67,TrendyFashion,Online,Delivered,2025-01-18,2025-01-22,No,,0
MSH2025-045,2025-01-01,CUST1045,Neha Agarwal,9865830546,Mumbai,Maharashtra,400035,PRD7119,T-shirt - Green 9,Men Wear,T-shirt,9,Green,1,1216,1158,5,SLR427,SportStyle,COD,Returned,2025-01-02,,Yes,,1158
MSH2025-046,2025-01-16,CUST1046,Riya Sharma,9874423334,Mumbai,Maharashtra,400060,PRD2493,Shirt - Blue 44,Men Wear,Shirt,44,Blue,1,1051,960,9,SLR241,FashionKart,COD,Returned,2025-01-17,,Yes,,960
MSH2025-047,2025-01-26,CUST1047,Deepika Singh,9895450868,Ahmedabad,Gujarat,380025,PRD2817,Palazzo Set - Brown 38,Women Wear,Palazzo Set,38,Brown,1,1212,1152,5,SLR253,FootwearPlaza,COD,Out for Delivery,2025-01-27,,No,,0
MSH2025-048,2025-01-18,CUST1048,Sameer Khan,9861630699,Mumbai,Maharashtra,400047,PRD3443,Saree - Brown 40,Women Wear,Saree,40,Brown,3,1421,1304,8,SLR212,TrendyFashion,COD,Returned,2025-01-19,,Yes,,1304
MSH2025-049,2025-01-11,CUST1049,Rahul Yadav,9812999276,Surat,Gujarat,395023,PRD7484,T-shirt - Pink 9,Kids Wear,T-shirt,9,Pink,2,969,851,12,SLR369,FootwearPlaza,Online,Cancelled,,,No,,0
MSH2025-050,2025-01-30,CUST1050,Shreya Kapoor,9826130919,Kolkata,West Bengal,700070,PRD2137,T-shirt - Green 38,Men Wear,T-shirt,38,Green,2,1206,967,20,SLR347,BudgetFashion,COD,Out for Delivery,2025-01-31,,No,,0
